Muestra,Temp,Hum,Pres,Den,Vol,DP,DP1,DP2,DP3,Vel1,Vel2,Vel3,Vel4,Tiempo,PWM,Paro,Hum2
0,20.235,40.558,102184.92,1.2095,2.5725,-1.5,-0.45,-0.3,0.0,0.0,0.0,0.863,0.704,512.0,0.0,1.0,39.036
1,20.225,40.497,102175.88,1.2094,2.57263,-1.375,-0.727,-0.515,0.0,0.0,0.0,1.097,0.923,566.0,0.0,1.0,39.048
2,20.235,40.505,102185.69,1.2095,2.57238,-1.625,-0.997,-0.737,0.0,0.0,0.0,1.284,1.104,620.0,0.0,1.0,39.114
3,20.246,40.505,102184.24,1.2094,2.57238,-1.625,-1.185,-0.914,0.0,0.0,0.0,1.4,1.23,673.0,0.0,1.0,39.028
4,20.235,40.505,102181.94,1.2095,2.5725,-1.5,-1.279,-1.032,0.0,0.0,0.0,1.455,1.306,728.0,0.0,1.0,39.029
5,20.257,40.49,102181.94,1.2094,2.57225,-1.75,-1.421,-1.175,0.0,0.0,0.0,1.533,1.394,782.0,0.0,1.0,39.029
6,20.225,40.513,102182.77,1.2095,2.5725,-1.5,-1.444,-1.24,0.0,0.0,0.0,1.545,1.432,836.0,0.0,1.0,38.986
7,20.235,40.49,102179.17,1.2094,2.57225,-1.75,-1.536,-1.342,0.0,0.0,0.0,1.594,1.49,889.0,0.0,1.0,38.986
8,20.235,40.497,102185.42,1.2095,2.57288,-1.125,-1.413,-1.299,0.0,0.0,0.0,1.528,1.465,944.0,0.0,1.0,39.053
9,20.235,40.497,102185.42,1.2095,2.57263,-1.375,-1.401,-1.314,0.0,0.0,0.0,1.522,1.474,998.0,0.0,1.0,39.053
10,20.235,40.513,102183.164,1.2095,2.57275,-1.25,-1.356,-1.301,0.0,0.0,0.0,1.497,1.467,1052.0,0.0,1.0,39.054
11,20.268,40.497,102184.05,1.2093,2.572,-2.0,-1.549,-1.441,0.0,0.0,0.0,1.601,1.544,1105.0,0.0,1.0,39.087
12,20.235,40.513,102185.81,1.2095,2.57225,-1.75,-1.609,-1.503,0.0,0.0,0.0,1.631,1.576,1160.0,0.0,1.0,39.032
13,20.235,40.505,102183.12,1.2095,2.57263,-1.375,-1.539,-1.477,0.0,0.0,0.0,1.595,1.563,1214.0,0.0,1.0,39.032
14,20.225,40.513,102183.12,1.2095,2.57225,-1.75,-1.602,-1.532,0.0,0.0,0.0,1.628,1.591,1268.0,0.0,1.0,39.032
15,20.246,40.497,102181.766,1.2094,2.57263,-1.375,-1.534,-1.5,0.0,0.0,0.0,1.593,1.575,1321.0,0.0,1.0,38.999
16,20.225,40.497,102182.16,1.2095,2.57225,-1.75,-1.599,-1.55,0.0,0.0,0.0,1.626,1.601,1376.0,0.0,1.0,39.032
17,20.235,40.49,102181.305,1.2095,2.57238,-1.625,-1.607,-1.565,0.0,0.0,0.0,1.63,1.609,1430.0,0.0,1.0,39.076
18,20.235,40.497,102181.305,1.2095,2.5725,-1.5,-1.574,-1.552,0.0,0.0,0.0,1.614,1.602,1484.0,0.0,1.0,39.076
19,20.235,40.513,102184.91,1.2095,2.57213,-1.875,-1.665,-1.617,0.0,0.0,0.0,1.659,1.635,1539.0,0.0,1.0,39.032
20,20.235,40.497,102182.16,1.2095,2.57275,-1.25,-1.54,-1.543,0.0,0.0,0.0,1.596,1.597,1592.0,0.0,1.0,39.065
21,20.257,40.513,102183.51,1.2094,2.57175,-2.25,-1.753,-1.684,0.0,0.0,0.0,1.703,1.669,1646.0,0.0,1.0,39.021
22,20.225,40.513,102184.85,1.2095,2.57225,-1.75,-1.752,-1.698,0.0,0.0,0.0,1.702,1.675,1700.0,0.0,1.0,39.021
23,20.257,40.505,102184.85,1.2094,2.572,-2.0,-1.826,-1.758,0.0,0.0,0.0,1.738,1.705,1755.0,0.0,1.0,39.021
24,20.235,40.49,102179.91,1.2094,2.572,-2.0,-1.878,-1.806,0.0,0.0,0.0,1.762,1.728,1808.0,0.0,1.0,39.021
25,20.257,40.497,102185.734,1.2094,2.57213,-1.875,-1.877,-1.82,0.0,0.0,0.0,1.762,1.735,1862.0,0.0,1.0,38.978
26,20.246,40.497,102184.85,1.2095,2.572,-2.0,-1.914,-1.856,0.0,0.0,0.0,1.779,1.752,1916.0,0.0,1.0,39.055
27,20.235,40.49,102182.16,1.2095,2.57188,-2.125,-1.977,-1.91,0.0,0.0,0.0,1.808,1.777,1971.0,0.0,1.0,39.055
28,20.235,40.497,102182.6,1.2095,2.57213,-1.875,-1.947,-1.903,0.0,0.0,0.0,1.794,1.774,2025.0,0.0,1.0,39.065
