Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador,TiempoRel
0,1202912.0,25.373,19.974,995.3053,1.159,0.362,14.0,0.791,270.0,0.0,751.36,0.0,0.0,1202912.0
1,1203962.0,25.341,19.982,995.34265,1.1592,0.362,14.0,0.791,270.0,0.0,751.36,0.0,0.0,1203962.0
2,1204014.0,25.351,19.959,995.34656,1.1591,0.362,14.0,0.791,270.0,0.0,751.36,0.0,0.0,1204014.0
3,1204065.0,25.351,19.967,995.29767,1.1591,0.362,14.0,0.791,270.0,0.0,751.36,0.0,0.0,1204065.0
4,1204116.0,25.351,19.974,995.29767,1.1591,0.362,14.0,0.791,270.0,0.0,751.36,0.0,0.0,1204116.0
5,1204167.0,25.373,19.944,995.27045,1.159,0.237,14.0,0.64,270.0,0.0,759.93,0.0,0.0,1204167.0
6,1204678.0,25.351,19.951,995.34265,1.1591,0.237,14.0,0.64,270.0,0.0,759.93,0.0,0.0,1204678.0
7,1205141.0,25.373,19.967,995.378,1.1591,0.237,14.0,0.64,270.0,0.0,759.93,0.0,0.0,463.0
8,1205243.0,25.351,19.959,995.3145,1.1591,0.237,14.0,0.64,270.0,0.0,759.93,0.0,0.0,565.0
9,1205448.0,25.341,19.959,995.4009,1.1593,0.237,14.0,0.64,270.0,0.0,759.93,0.0,0.0,770.0
10,1205704.0,25.351,19.967,995.31116,1.1591,0.237,14.0,0.64,270.0,0.0,759.93,0.0,0.0,1026.0
11,1206062.0,25.341,19.974,995.33826,1.1592,0.237,14.0,0.64,270.0,0.0,759.93,0.0,0.0,1384.0
12,1206164.0,25.351,19.959,995.3059,1.1591,0.237,14.0,0.64,270.0,0.0,759.93,0.0,0.0,1486.0
13,1206318.0,25.351,19.959,995.31116,1.1591,0.362,14.0,0.791,270.0,0.0,751.36,0.0,0.0,1640.0
14,1206369.0,25.362,19.944,995.33307,1.1591,0.362,14.0,0.791,270.0,0.0,751.36,0.0,0.0,1691.0
15,1206420.0,25.351,19.959,995.34265,1.1591,0.362,14.0,0.791,270.0,0.0,751.36,0.0,0.0,1742.0
16,1206778.0,25.341,19.951,995.29663,1.1591,0.362,14.0,0.791,270.0,0.0,751.36,0.0,0.0,2100.0
17,1206830.0,25.362,19.959,995.29663,1.159,0.362,14.0,0.791,270.0,0.0,751.36,0.0,0.0,2152.0
18,1207494.0,25.351,19.967,995.3562,1.1592,0.362,14.0,0.791,270.0,0.0,751.36,0.0,0.0,2816.0
19,1207648.0,25.373,19.967,995.41437,1.1591,0.362,14.0,0.791,270.0,0.0,751.36,0.0,0.0,2970.0
