Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador,TiempoRel
0,5249498.0,24.912,17.617,994.5539,1.1603,0.0,4.7,0.0,194.0,1.0,267.33,0.0,0.0,NaN
1,5249600.0,24.912,17.609,994.6164,1.1604,0.0,4.7,0.0,205.0,1.0,267.33,0.0,0.0,NaN
2,5249753.0,24.922,17.624,994.5985,1.1603,0.0,4.7,0.0,222.0,1.0,267.33,0.0,0.0,NaN
3,5249804.0,24.922,17.609,994.5985,1.1603,0.0,4.7,0.0,228.0,1.0,267.33,0.0,0.0,NaN
4,5249854.0,24.901,17.617,994.6028,1.1604,0.0,4.7,0.0,234.0,1.0,267.33,0.0,0.0,NaN
5,5250008.0,24.922,17.617,994.6028,1.1603,0.0,4.7,0.0,251.0,1.0,267.33,0.0,0.0,NaN
