Muestra,Temp,Hum,Pres,Den,Vol,DP,DP1,DP2,DP3,Vel1,Vel2,Vel3,Vel4,Tiempo,PWM,Paro,Hum2
0,23.356,31.411,102222.08,1.1974,2.57375,-0.25,-0.154,-0.11,0.0,0.0,0.0,0.507,0.429,297.0,50.0,1.0,31.129
1,23.356,31.411,102222.08,1.1974,2.57363,-0.375,-0.22,-0.163,0.0,0.0,0.0,0.606,0.522,362.0,50.0,1.0,31.129
2,23.356,31.411,102219.586,1.1974,2.57413,0.125,-0.116,-0.105,0.125,0.457,0.457,0.441,0.419,427.0,50.0,1.0,31.163
3,23.367,31.418,102218.17,1.1973,2.574,0.0,-0.081,-0.084,0.125,0.02,0.457,0.369,0.375,491.0,50.0,1.0,31.163
4,23.335,31.411,102218.17,1.1975,2.57375,-0.25,-0.132,-0.117,0.0,0.0,0.02,0.469,0.443,556.0,50.0,1.0,31.163
5,23.335,31.418,102216.81,1.1975,2.5735,-0.5,-0.242,-0.194,0.0,0.0,0.02,0.636,0.569,620.0,50.0,1.0,31.163
6,23.356,31.426,102219.36,1.1974,2.574,0.0,-0.17,-0.155,0.0,0.02,0.02,0.532,0.509,685.0,50.0,1.0,31.152
7,23.346,31.418,102219.36,1.1974,2.5735,-0.5,-0.269,-0.224,0.0,0.0,0.02,0.67,0.612,749.0,50.0,1.0,31.152
8,23.367,31.418,102217.91,1.1973,2.57338,-0.625,-0.375,-0.304,0.0,0.0,0.02,0.792,0.713,814.0,50.0,1.0,31.152
9,23.367,31.411,102217.33,1.1973,2.57413,0.125,-0.225,-0.218,0.125,0.457,0.457,0.613,0.604,878.0,50.0,1.0,31.175
10,23.346,31.418,102217.33,1.1974,2.57388,-0.125,-0.195,-0.2,0.0,0.0,0.02,0.571,0.577,944.0,50.0,1.0,31.175
11,23.346,31.411,102219.02,1.1974,2.574,0.0,-0.136,-0.16,0.0,0.02,0.02,0.477,0.516,1008.0,50.0,1.0,31.163
12,23.356,31.434,102220.14,1.1974,2.5735,-0.5,-0.245,-0.228,0.0,0.0,0.02,0.64,0.617,1073.0,50.0,1.0,31.152
13,23.367,31.418,102220.14,1.1974,2.57375,-0.25,-0.247,-0.232,0.0,0.0,0.02,0.642,0.623,1137.0,50.0,1.0,31.152
14,23.367,31.411,102220.945,1.1974,2.57363,-0.375,-0.285,-0.261,0.0,0.0,0.02,0.69,0.66,1202.0,50.0,1.0,31.186
15,23.335,31.411,102219.53,1.1975,2.5745,0.5,-0.05,-0.108,0.125,0.914,0.457,0.288,0.426,1266.0,50.0,1.0,31.141
16,23.356,31.403,102219.53,1.1974,2.5735,-0.5,-0.185,-0.187,0.0,0.0,0.02,0.555,0.558,1331.0,50.0,1.0,31.141
17,23.367,31.418,102220.09,1.1974,2.57375,-0.25,-0.204,-0.199,0.0,0.0,0.02,0.584,0.577,1395.0,50.0,1.0,31.163
18,23.346,31.395,102218.07,1.1974,2.57388,-0.125,-0.18,-0.184,0.0,0.0,0.02,0.549,0.555,1461.0,50.0,1.0,31.152
19,23.346,31.434,102218.07,1.1974,2.57388,-0.125,-0.164,-0.172,0.0,0.0,0.02,0.523,0.537,1525.0,50.0,1.0,31.152
20,23.346,31.411,102219.36,1.1974,2.57375,-0.25,-0.19,-0.188,0.0,0.0,0.02,0.563,0.56,1590.0,50.0,1.0,31.13
21,23.356,31.411,102220.375,1.1974,2.57425,0.25,-0.058,-0.1,0.125,0.647,0.457,0.31,0.409,1654.0,50.0,1.0,31.141
22,23.335,31.411,102220.375,1.1975,2.57425,0.25,0.035,-0.03,0.125,0.647,0.457,0.241,0.224,1719.0,50.0,1.0,31.141
23,23.346,31.411,102219.42,1.1974,2.57388,-0.125,-0.013,-0.049,0.125,0.0,0.457,0.148,0.286,1783.0,50.0,1.0,31.152
24,23.335,31.418,102218.92,1.1975,2.57363,-0.375,-0.122,-0.114,0.125,0.0,0.457,0.451,0.437,1849.0,50.0,1.0,31.175
25,23.356,31.434,102218.92,1.1974,2.57363,-0.375,-0.198,-0.166,0.125,0.0,0.457,0.574,0.527,1913.0,50.0,1.0,31.175
26,23.356,31.411,102218.336,1.1974,2.574,0.0,-0.138,-0.133,0.125,0.02,0.457,0.48,0.471,1978.0,50.0,1.0,31.175
27,23.346,31.411,102220.375,1.1975,2.57413,0.125,-0.059,-0.081,0.125,0.457,0.457,0.314,0.369,2042.0,50.0,1.0,31.152
28,23.324,31.403,102220.375,1.1975,2.57375,-0.25,-0.116,-0.115,0.125,0.0,0.457,0.441,0.438,2107.0,50.0,1.0,31.152
29,23.367,31.411,102219.19,1.1973,2.57388,0.013,-0.078,-0.09,0.125,0.145,0.457,0.36,0.387,2172.0,50.0,1.0,31.175
30,23.356,31.411,102221.73,1.1974,2.57375,-0.113,-0.088,-0.094,0.125,0.0,0.457,0.384,0.397,2237.0,50.0,1.0,31.163
31,23.346,31.411,102221.73,1.1975,2.57363,-0.238,-0.133,-0.123,0.125,0.0,0.457,0.471,0.453,2301.0,50.0,1.0,31.163
32,23.356,31.403,102220.09,1.1974,2.57375,-0.113,-0.127,-0.121,0.125,0.0,0.457,0.46,0.449,2366.0,50.0,1.0,31.141
33,23.324,31.426,102220.71,1.1976,2.5735,-0.362,-0.198,-0.169,0.125,0.0,0.457,0.574,0.531,2430.0,50.0,1.0,31.152
34,23.367,31.403,102220.71,1.1974,2.57375,-0.113,-0.172,-0.158,0.125,0.0,0.457,0.536,0.513,2495.0,50.0,1.0,31.152
35,23.367,31.403,102220.375,1.1974,2.57413,0.262,-0.042,-0.074,0.25,0.662,0.647,0.264,0.351,2560.0,50.0,1.0,31.152
36,23.346,31.403,102219.53,1.1974,2.57375,-0.113,-0.063,-0.082,0.25,0.0,0.647,0.324,0.369,2624.0,50.0,1.0,31.152
37,23.367,31.411,102219.53,1.1974,2.57363,-0.238,-0.115,-0.113,0.125,0.0,0.457,0.439,0.434,2690.0,50.0,1.0,31.152
38,23.346,31.411,102221.12,1.1975,2.57388,0.013,-0.077,-0.088,0.125,0.145,0.457,0.359,0.383,2754.0,50.0,1.0,31.141
39,23.367,31.411,102218.58,1.1973,2.574,0.137,-0.013,-0.043,0.137,0.479,0.479,0.145,0.267,2819.0,50.0,1.0,31.186
40,23.367,31.403,102218.58,1.1973,2.574,0.137,0.032,-0.007,0.137,0.479,0.479,0.233,0.105,2883.0,50.0,1.0,31.186
41,23.346,31.411,102217.96,1.1974,2.57388,0.013,0.026,-0.003,0.137,0.145,0.479,0.21,0.068,2948.0,50.0,1.0,31.152
42,23.367,31.418,102217.18,1.1973,2.574,0.137,0.06,0.025,0.137,0.479,0.479,0.316,0.205,3012.0,50.0,1.0,31.185
43,23.356,31.411,102217.18,1.1974,2.57438,0.513,0.196,0.123,0.137,0.925,0.479,0.572,0.453,3077.0,50.0,1.0,31.185
