Muestra;Temp;Hum;Pres;Den;Vol;DP;DP1;DP2;DP3;Vel1;Vel2;Vel3;Vel4;Tiempo;PWM;Paro;Hum2;VelRef;Error
0;0.0;52.353;102920.414;1.2445;2.5735;0.5;0.175;0.1;0.5;0.897;0.897;0.53;0.401;512.0;0.0;0.0;54.512;0.0;-51.0
1;0.0;52.3;102922.625;1.2446;2.57363;0.625;0.333;0.205;0.625;1.002;1.002;0.731;0.574;567.0;0.0;0.0;54.513;0.0;-57.01
2;0.0;52.3;102923.484;1.2446;2.57363;0.625;0.435;0.289;0.625;1.002;1.002;0.836;0.682;621.0;0.0;0.0;54.505;0.0;-57.01
3;0.0;52.3;102921.7;1.2445;2.574;1.0;0.633;0.431;0.625;1.268;1.002;1.008;0.833;675.0;0.0;0.0;54.538;0.0;-57.01
4;0.0;52.3;102923.914;1.2445;2.574;1.0;0.761;0.545;0.625;1.268;1.002;1.106;0.936;730.0;0.0;0.0;54.486;0.0;-57.01
5;0.0;52.315;102923.914;1.2446;2.57363;0.625;0.714;0.561;0.625;1.002;1.002;1.071;0.95;784.0;0.0;0.0;54.486;0.0;-57.01
6;0.0;52.323;102924.34;1.2445;2.57275;-0.25;0.376;0.399;0.625;0.0;1.002;0.778;0.801;838.0;0.0;0.0;54.553;0.0;-57.01
7;0.0;52.308;102922.99;1.2446;2.57363;0.625;0.463;0.444;0.625;1.002;1.002;0.863;0.845;893.0;0.0;0.0;54.532;0.0;-57.01
8;0.0;52.3;102920.77;1.2446;2.57325;0.25;0.389;0.405;0.625;0.634;1.002;0.79;0.807;948.0;0.0;0.0;54.511;0.0;-57.01
9;0.0;52.292;102919.89;1.2446;2.57363;0.625;0.472;0.449;0.625;1.002;1.002;0.87;0.85;1002.0;0.0;0.0;54.522;0.0;-57.01
10;0.0;52.315;102919.89;1.2445;2.5735;0.5;0.482;0.459;0.625;0.897;1.002;0.88;0.859;1056.0;0.0;0.0;54.522;0.0;-57.01
11;0.0;52.3;102922.086;1.2446;2.57313;0.125;0.357;0.393;0.625;0.448;1.002;0.757;0.794;1112.0;0.0;0.0;54.522;0.0;-57.01
12;0.0;52.308;102922.06;1.2447;2.57313;0.125;0.276;0.339;0.625;0.448;1.002;0.666;0.738;1166.0;0.0;0.0;54.512;0.0;-57.01
13;0.0;52.3;102914.55;1.2444;2.57313;0.125;0.223;0.296;0.625;0.449;1.002;0.599;0.69;1220.0;0.0;0.0;54.522;0.0;-57.01
14;0.0;52.308;102923.875;1.2446;2.57375;0.75;0.408;0.387;0.625;1.098;1.002;0.809;0.789;1274.0;0.0;0.0;54.544;0.0;-57.01
15;0.0;52.308;102923.875;1.2445;2.57338;0.375;0.396;0.385;0.625;0.777;1.002;0.798;0.786;1330.0;0.0;0.0;54.544;0.0;-57.01
16;0.0;52.3;102919.875;1.2445;2.57375;0.75;0.52;0.458;0.625;1.098;1.002;0.914;0.858;1384.0;0.0;0.0;54.501;0.0;-57.01
17;0.0;52.3;102925.63;1.2446;2.57325;0.25;0.426;0.416;0.625;0.634;1.002;0.827;0.818;1438.0;0.0;0.0;54.523;0.0;-57.01
18;0.0;52.308;102917.66;1.2445;2.5735;0.5;0.452;0.433;0.625;0.897;1.002;0.852;0.834;1494.0;0.0;0.0;54.544;0.0;-57.01
19;0.0;52.315;102924.31;1.2446;2.57363;0.625;0.512;0.471;0.625;1.002;1.002;0.907;0.87;1548.0;0.0;0.0;54.544;0.0;-57.01
20;0.0;52.323;102924.734;1.2445;2.5735;0.5;0.508;0.477;0.625;0.897;1.002;0.904;0.876;1602.0;0.0;0.0;54.512;0.0;-57.01
21;0.0;52.315;102918.97;1.2445;2.57338;0.375;0.462;0.457;0.5;0.777;0.897;0.861;0.857;1657.0;0.0;0.0;54.523;0.0;-51.0
22;0.0;52.315;102921.63;1.2446;2.57313;0.125;0.344;0.39;0.5;0.448;0.897;0.743;0.792;1712.0;0.0;0.0;54.534;0.0;-51.0
