=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.04.29 15:15:39 =~=~=~=~=~=~=~=~=~=~=~=
20.235;40.062;100470.21.024;100465.984;1.1888;2.54125;-8.250;-7.912;-7.871;0.000;0.000;0.007.776;0.000;0.000;0.000;3.615;3.617;61698;500;1
20.300;40.024;100465.984;1.1888;2.54125;-8.250;-7.912;-7.871;0.000;0.000;0.007.776;0.000;0.000;0.000;3.615;3.617;61698;500;1
20.300;40.024;100465.984;1.1888;2.54125;-8.250;-7.912;-7.871;0.000;0.000;0.0020.268;40.047;100463.664;1.1890;2.54913;2549.125;764.738;509.825;2549.125;65.483;65.483;35.866;29.285;512;0;1
20.278;40.001;100465.375;1.1889;2.54950;1274.938;917.798;662.848;2549.125;46.311;65.483;39.292;33.392;566;0;1
20.268;40.001;100465.234;1.1890;2.55000;850.458;897.596;700.370;1274.938;37.823;46.310;38.857;34.324;620;0;1
20.257;40.001;100468.656;1.1891;2.54963;637.469;819.558;687.790;1274.938;32.745;46.308;37.128;34.013;674;0;1
20.278;40.001;100465.929;1.1889;2.54875;509.100;726.420;652.052;850.458;29.264;37.823;34.957;33.119;729;0;1
20.268;40.001;100465.929;1.1890;2.54963;425.125;636.032;606.666;850.458;26.741;37.823;32.709;31.945;783;0;1
20.257;39.994;100461.390;1.1890;2.54963;364.393;554.540;558.212;637.469;24.758;32.746;30.542;30.643;837;0;1
20.257;39.986;100470.742;1.1891;2.54875;317.969;483.569;510.163;637.469;23.126;32.744;28.519;29.293;891;0;1
20.246;39.994;100462.187;1.1890;2.54888;282.764;423.327;464.683;509.100;21.809;29.263;26.684;27.957;946;0;1
20.268;39.986;100462.187;1.1889;2.55025;255.862;373.088;422.919;509.100;20.746;29.264;25.052;26.672;1000;0;1
20.278;40.009;100462.625;1.1889;2.54950;231.853;330.717;384.706;425.125;19.749;26.742;23.587;25.439;1054;0;1
20.289;40.009;100464.375;1.1889;2.54938;212.406;295.224;350.246;425.125;18.903;26.743;22.286;24.274;1107;0;1
20.257;40.001;100461.210;1.1890;2.54975;196.442;265.589;319.485;364.393;18.178;24.758;21.137;23.182;1162;0;1
20.268;40.009;100460.765;1.1889;2.54938;182.036;240.523;291.995;364.393;17.499;24.758;20.115;22.163;1217;0;1
20.268;39.986;100460.765;1.1889;2.54900;169.525;219.224;267.501;317.969;16.887;23.128;19.204;21.213;1271;0;1
20.278;40.009;100466.593;1.1889;2.54950;159.430;201.286;245.887;317.969;16.376;23.127;18.401;20.338;1326;0;1
20.268;40.001;100462.992;1.1890;2.54950;150.052;185.916;226.720;282.764;15.887;21.809;17.684;19.529;1380;0;1
20.268;40.009;100457.609;1.1889;2.54950;141.716;172.656;209.719;282.764;15.440;21.810;17.043;18.783;1434;0;1
20.278;40.001;100462.484;1.1889;2.54888;133.632;160.949;194.502;255.862;14.993;20.747;16.455;18.089;1488;0;1
20.246;40.009;100462.484;1.1890;2.54950;127.575;150.937;181.116;255.862;14.649;20.745;15.934;17.454;1543;0;1
20.257;40.001;100458.875;1.1889;2.54925;-0.150;105.611;144.863;231.853;0.000;19.749;13.329;15.610;1597;0;1
20.278;39.994;100468.304;1.1890;2.54888;-0.531;73.768;115.784;231.853;0.000;19.749;11.139;13.956;1650;0;1
20.268;40.001;100466.960;1.1890;2.54938;0.000;51.638;92.628;231.853;0.020;19.748;9.320;12.482;1704;0;1
20.268;39.994;100466.960;1.1890;2.54925;-0.093;36.118;74.083;212.406;0.000;18.902;7.795;11.163;1759;0;1
20.289;39.986;100460.226;1.1888;2.54800;-1.325;24.886;59.002;196.442;0.000;18.179;6.470;9.963;1812;0;1
20.278;40.001;100460.671;1.1889;2.54875;-0.537;17.259;47.094;196.442;0.000;18.179;5.388;8.901;1866;0;1
20.268;40.001;100462.921;1.1890;2.54913;-0.118;12.046;37.652;182.036;0.000;17.499;4.501;7.958;1920;0;1
20.257;39.986;100464.265;1.1890;2.54975;0.531;8.591;30.228;182.036;0.945;17.498;3.801;7.131;1974;0;1
20.278;39.994;100464.265;1.1889;2.54875;-0.518;5.858;24.078;169.525;0.000;16.887;3.139;6.364;2028;0;1
20.278;40.009;100464.265;1.1889;2.54925;-0.012;4.097;19.260;159.430;0.000;16.377;2.625;5.692;2081;0;1
20.268;39.994;100463.359;1.1890;2.54913;-0.087;2.842;15.391;159.430;0.000;16.376;2.186;5.088;2136;0;1
20.289;40.017;100460.226;1.1888;2.54888;-0.337;1.888;12.245;150.052;0.000;15.888;1.782;4.539;2189;0;1
20.289;40.009;100460.226;1.1888;2.54975;0.538;1.483;9.904;150.052;0.951;15.888;1.580;4.082;2243;0;1
20.268;39.986;100465.609;1.1890;2.54938;0.163;1.087;7.955;141.716;0.523;15.440;1.352;3.658;2296;0;1
20.268;39.986;100460.671;1.1889;2.54888;-0.337;0.660;6.297;133.632;0.000;14.993;1.053;3.255;2350;0;1
20.268;40.001;100464.703;1.1890;2.54913;-0.087;0.436;5.020;127.575;0.000;14.649;0.856;2.906;2404;0;1
20.268;40.001;100465.171;1.1890;2.54963;0.413;0.429;4.099;127.575;0.833;14.649;0.849;2.626;2457;0;1
20.278;39.986;100465.171;1.1889;2.54900;-0.212;0.236;3.236;0.538;0.000;0.951;0.631;2.333;2511;0;1
