Muestra,Temp,Hum,Pres,Den,Vol,DP,DP1,DP2,DP3,Vel1,Vel2,Vel3,Vel4,Tiempo,PWM,Paro
45,20.096,39.879,100493.43,1.1901,2.55125,0.075,0.303,0.829,0.325,0.356,0.739,0.713,1.18,2940.0,0.0,1.0
46,20.107,39.872,100493.83,1.19,2.551,-0.175,0.159,0.628,0.325,0.0,0.739,0.518,1.027,2994.0,0.0,1.0
47,20.107,39.879,100493.83,1.19,2.5515,0.325,0.209,0.567,0.325,0.739,0.739,0.593,0.977,3047.0,0.0,1.0
48,20.118,39.887,100492.08,1.19,2.55075,-0.425,0.019,0.369,0.325,0.0,0.739,0.178,0.787,3100.0,0.0,1.0
49,20.128,39.864,100496.12,1.19,2.55063,-0.55,-0.152,0.185,0.325,0.0,0.739,0.505,0.558,3154.0,0.0,1.0
50,20.118,39.872,100496.12,1.19,2.552,0.825,0.141,0.313,0.325,1.178,0.739,0.487,0.726,3208.0,0.0,1.0
51,20.107,39.864,100494.77,1.19,2.55138,0.2,0.159,0.291,0.325,0.58,0.739,0.517,0.699,3261.0,0.0,1.0
52,20.118,39.879,100495.17,1.19,2.55025,-0.925,-0.166,0.048,0.325,0.0,0.739,0.528,0.283,3315.0,0.0,1.0
53,20.107,39.864,100494.77,1.19,2.55238,1.2,0.244,0.278,0.325,1.42,0.739,0.64,0.684,3368.0,0.0,1.0
54,20.107,39.879,100494.77,1.19,2.55113,-0.05,0.156,0.212,0.325,0.0,0.739,0.512,0.598,3422.0,0.0,1.0
55,20.118,39.864,100496.12,1.19,2.55,-1.175,-0.243,-0.065,0.325,0.0,0.739,0.64,0.33,3475.0,0.0,1.0
56,20.107,39.864,100496.05,1.1901,2.55225,1.075,0.152,0.163,0.45,1.344,0.87,0.506,0.524,3529.0,0.0,1.0
57,20.118,39.856,100497.87,1.19,2.5515,0.325,0.204,0.196,0.45,0.739,0.87,0.586,0.573,3582.0,0.0,1.0
58,20.118,39.856,100497.87,1.19,2.55125,0.075,0.165,0.171,0.325,0.356,0.739,0.527,0.537,3636.0,0.0,1.0
59,20.139,39.864,100497.87,1.1899,2.55113,-0.05,0.101,0.127,0.325,0.0,0.739,0.412,0.462,3689.0,0.0,1.0
60,20.107,39.879,100493.83,1.19,2.55188,0.7,0.281,0.242,0.325,1.085,0.739,0.687,0.638,3743.0,0.0,1.0
61,20.128,39.879,100497.87,1.19,2.5505,-0.675,-0.006,0.059,0.325,0.0,0.739,0.1,0.314,3796.0,0.0,1.0
62,20.118,39.864,100494.266,1.19,2.552,0.825,0.243,0.212,0.325,1.178,0.739,0.64,0.597,3850.0,0.0,1.0
63,20.118,39.864,100494.266,1.19,2.55125,0.075,0.193,0.185,0.325,0.356,0.739,0.57,0.557,3904.0,0.0,1.0
64,20.118,39.872,100497.47,1.19,2.551,-0.175,0.083,0.113,0.325,0.0,0.739,0.373,0.435,3957.0,0.0,1.0
65,20.107,39.864,100494.266,1.19,2.55138,0.2,0.118,0.13,0.325,0.58,0.739,0.445,0.468,4011.0,0.0,1.0
66,20.096,39.872,100494.77,1.1901,2.55138,0.2,0.143,0.144,0.325,0.58,0.739,0.49,0.492,4064.0,0.0,1.0
67,20.118,39.872,100494.77,1.19,2.55088,-0.3,0.01,0.055,0.325,0.0,0.739,0.129,0.305,4118.0,0.0,1.0
68,20.118,39.864,100491.14,1.19,2.55063,-0.55,-0.158,-0.066,0.325,0.0,0.739,0.515,0.332,4171.0,0.0,1.0
69,20.139,39.856,100493.83,1.1899,2.55175,0.575,0.062,0.063,0.575,0.983,0.983,0.323,0.324,4225.0,0.0,1.0
70,20.118,39.864,100491.14,1.19,2.55125,0.075,0.066,0.065,0.325,0.356,0.739,0.333,0.331,4278.0,0.0,1.0
71,20.107,39.856,100497.47,1.1901,2.5515,0.325,0.144,0.117,0.325,0.739,0.739,0.492,0.444,4332.0,0.0,1.0
72,20.107,39.856,100497.47,1.1901,2.55138,0.2,0.161,0.134,0.325,0.58,0.739,0.52,0.474,4385.0,0.0,1.0
73,20.118,39.856,100494.7,1.19,2.55138,0.2,0.173,0.147,0.325,0.58,0.739,0.539,0.497,4439.0,0.0,1.0
74,20.118,39.872,100497.4,1.19,2.55063,-0.55,-0.044,0.008,0.2,0.0,0.58,0.272,0.114,4492.0,0.0,1.0
75,20.118,39.856,100496.05,1.19,2.55125,0.075,-0.008,0.021,0.2,0.356,0.58,0.118,0.189,4546.0,0.0,1.0
76,20.118,39.856,100496.05,1.19,2.55138,0.2,0.054,0.057,0.2,0.58,0.58,0.302,0.31,4599.0,0.0,1.0
77,20.118,39.849,100498.305,1.19,2.5515,0.325,0.136,0.111,0.2,0.739,0.58,0.477,0.431,4653.0,0.0,1.0
78,20.128,39.864,100494.7,1.1899,2.55175,0.575,0.267,0.204,0.2,0.983,0.58,0.67,0.585,4706.0,0.0,1.0
79,20.118,39.856,100495.61,1.19,2.55125,0.075,0.21,0.178,0.2,0.356,0.58,0.594,0.547,4760.0,0.0,1.0
80,20.118,39.864,100495.61,1.19,2.55138,0.2,0.207,0.182,0.2,0.58,0.58,0.59,0.554,4813.0,0.0,1.0
81,20.107,39.864,100495.61,1.1901,2.55138,0.2,0.205,0.186,0.2,0.58,0.58,0.587,0.559,4867.0,0.0,1.0
82,20.118,39.849,100493.83,1.19,2.55113,-0.05,0.129,0.139,0.2,0.0,0.58,0.465,0.483,4921.0,0.0,1.0
83,20.118,39.849,100492.016,1.19,2.55038,-0.8,-0.15,-0.049,0.2,0.0,0.58,0.502,0.287,4974.0,0.0,1.0
84,20.107,39.841,100492.484,1.19,2.552,0.825,0.143,0.126,0.2,1.178,0.58,0.49,0.46,5027.0,0.0,1.0
85,20.107,39.872,100492.484,1.19,2.5515,0.325,0.197,0.166,0.2,0.739,0.58,0.576,0.528,5081.0,0.0,1.0
86,20.107,39.856,100494.7,1.19,2.5515,0.325,0.236,0.198,0.2,0.739,0.58,0.629,0.576,5135.0,0.0,1.0
87,20.107,39.856,100493.36,1.19,2.55225,1.075,0.488,0.373,0.2,1.344,0.58,0.905,0.792,5188.0,0.0,1.0
88,20.107,39.856,100492.484,1.19,2.552,0.825,0.589,0.464,0.325,1.178,0.739,0.995,0.883,5241.0,0.0,1.0
89,20.128,39.841,100492.484,1.1899,2.55113,-0.05,0.397,0.361,0.325,0.0,0.739,0.817,0.779,5295.0,0.0,1.0
90,20.107,39.849,100497.4,1.1901,2.55238,1.2,0.638,0.529,0.325,1.42,0.739,1.036,0.943,5349.0,0.0,1.0
91,20.107,39.841,100496.05,1.1901,2.5525,1.325,0.844,0.688,0.325,1.492,0.739,1.191,1.075,5402.0,0.0,1.0
92,20.128,39.841,100495.17,1.19,2.552,0.825,0.839,0.715,0.325,1.178,0.739,1.187,1.097,5455.0,0.0,1.0
93,20.118,39.841,100491.58,1.19,2.55388,2.7,1.397,1.112,0.325,2.13,0.739,1.532,1.367,5510.0,0.0,1.0
94,20.128,39.841,100491.58,1.1899,2.55388,2.7,1.788,1.43,0.575,2.13,0.983,1.734,1.55,5563.0,0.0,1.0
95,20.118,39.856,100495.17,1.19,2.55325,2.075,1.874,1.559,0.825,1.868,1.178,1.775,1.619,5616.0,0.0,1.0
96,20.118,39.849,100493.36,1.19,2.55288,1.7,1.822,1.587,0.825,1.69,1.178,1.75,1.633,5670.0,0.0,1.0
97,20.096,39.841,100491.58,1.1901,2.55488,3.7,2.385,2.01,0.825,2.494,1.178,2.002,1.838,5724.0,0.0,1.0
98,20.118,39.856,100491.58,1.19,2.55313,1.95,2.255,1.998,0.825,1.81,1.178,1.947,1.832,5777.0,0.0,1.0
99,20.118,39.849,100497.4,1.19,2.55438,3.2,2.539,2.238,1.075,2.319,1.344,2.066,1.94,5831.0,0.0,1.0
100,20.118,39.834,100492.484,1.19,2.55513,3.95,2.962,2.581,1.2,2.577,1.42,2.231,2.083,5884.0,0.0,1.0
101,20.085,39.849,100492.92,1.1901,2.55538,4.2,3.334,2.905,1.325,2.657,1.492,2.367,2.209,5939.0,0.0,1.0
102,20.128,39.834,100495.14,1.19,2.55475,3.575,3.406,3.039,1.7,2.451,1.69,2.393,2.26,5992.0,0.0,1.0
103,20.118,39.841,100495.14,1.19,2.55688,5.7,4.094,3.571,1.95,3.095,1.81,2.623,2.45,6045.0,0.0,1.0
104,20.118,39.841,100494.7,1.19,2.55688,5.7,4.576,3.997,2.075,3.095,1.868,2.773,2.592,6099.0,0.0,1.0
105,20.107,39.834,100499.18,1.1901,2.55638,5.2,4.763,4.238,2.075,2.956,1.867,2.829,2.669,6153.0,0.0,1.0
106,20.118,39.841,100494.7,1.19,2.5575,6.325,5.232,4.655,2.7,3.26,2.13,2.965,2.797,6206.0,0.0,1.0
107,20.128,39.841,100494.7,1.1899,2.55938,8.2,6.122,5.364,2.7,3.712,2.13,3.208,3.003,6260.0,0.0,1.0
108,20.107,39.856,100494.266,1.19,2.55725,6.075,6.108,5.506,3.2,3.195,2.319,3.204,3.042,6313.0,0.0,1.0
109,20.118,39.834,100498.234,1.19,2.55988,8.7,6.886,6.145,3.575,3.824,2.451,3.402,3.214,6368.0,0.0,1.0
110,20.128,39.834,100499.18,1.19,2.56,8.825,7.468,6.681,3.7,3.851,2.494,3.543,3.351,6421.0,0.0,1.0
111,20.085,39.834,100493.8,1.1901,2.5595,8.325,7.725,7.01,3.95,3.74,2.577,3.603,3.432,6474.0,0.0,1.0
112,20.118,39.834,100493.36,1.19,2.56038,9.2,8.168,7.448,4.2,3.932,2.657,3.705,3.538,6529.0,0.0,1.0
113,20.107,39.834,100499.58,1.1901,2.56163,10.45,8.852,8.048,5.2,4.191,2.956,3.857,3.678,6582.0,0.0,1.0
114,20.107,39.841,100493.8,1.19,2.5615,10.325,9.294,8.504,5.7,4.166,3.095,3.952,3.78,6636.0,0.0,1.0
115,20.107,39.834,100496.96,1.1901,2.56175,10.575,9.679,8.918,5.7,4.216,3.095,4.033,3.871,6689.0,0.0,1.0
116,20.107,39.849,100496.96,1.1901,2.56263,11.45,10.21,9.425,6.075,4.387,3.195,4.142,3.98,6743.0,0.0,1.0
117,20.107,39.834,100495.55,1.1901,2.56325,12.075,10.77,9.955,6.325,4.505,3.26,4.254,4.09,6797.0,0.0,1.0
118,20.128,39.834,100496.89,1.19,2.56225,11.075,10.861,10.179,8.2,4.314,3.712,4.273,4.136,6850.0,0.0,1.0
119,20.107,39.834,100495.17,1.19,2.5645,13.325,11.6,10.808,8.325,4.732,3.741,4.415,4.262,6904.0,0.0,1.0
120,20.107,39.818,100495.17,1.19,2.56375,12.575,11.893,11.161,8.7,4.597,3.824,4.471,4.331,6958.0,0.0,1.0
121,20.107,39.834,100489.39,1.19,2.56413,12.95,12.21,11.519,8.825,4.665,3.851,4.53,4.4,7012.0,0.0,1.0
122,20.118,39.826,100494.336,1.19,2.56475,13.575,12.62,11.93,9.2,4.777,3.932,4.605,4.478,7065.0,0.0,1.0
123,20.128,39.826,100500.16,1.19,2.56488,13.7,12.944,12.284,10.325,4.798,4.166,4.664,4.544,7119.0,0.0,1.0
124,20.118,39.826,100497.47,1.19,2.56338,12.2,12.721,12.268,10.45,4.528,4.191,4.624,4.541,7174.0,0.0,1.0
125,20.107,39.834,100497.47,1.1901,2.5655,14.325,13.202,12.679,10.575,4.907,4.216,4.71,4.616,7227.0,0.0,1.0
126,20.107,39.818,100494.266,1.19,2.5645,13.325,13.239,12.808,11.075,4.732,4.314,4.717,4.64,7281.0,0.0,1.0
127,20.118,39.818,100495.17,1.19,2.56313,11.95,12.852,12.637,11.45,4.482,4.387,4.648,4.608,7334.0,0.0,1.0
128,20.107,39.834,100494.2,1.19,2.56663,15.45,13.632,13.199,11.95,5.096,4.481,4.786,4.71,7389.0,0.0,1.0
129,20.107,39.811,100494.2,1.19,2.56625,15.075,14.065,13.575,12.075,5.033,4.505,4.862,4.776,7443.0,0.0,1.0
130,20.118,39.818,100494.64,1.19,2.56538,14.2,14.105,13.7,12.2,4.885,4.528,4.869,4.798,7496.0,0.0,1.0
131,20.107,39.803,100496.89,1.1901,2.56438,13.2,13.834,13.6,12.575,4.71,4.597,4.822,4.781,7550.0,0.0,1.0
132,20.118,39.818,100492.85,1.19,2.56575,14.575,14.056,13.795,12.95,4.949,4.665,4.861,4.815,7604.0,0.0,1.0
133,20.118,39.811,100494.7,1.19,2.56463,13.45,13.874,13.726,13.2,4.755,4.71,4.829,4.803,7658.0,0.0,1.0
134,20.107,39.818,100494.7,1.19,2.56513,13.95,13.897,13.771,13.325,4.842,4.732,4.833,4.811,7711.0,0.0,1.0
135,20.096,39.834,100494.2,1.1901,2.56613,14.95,14.213,14.007,13.325,5.012,4.732,4.887,4.852,7766.0,0.0,1.0
136,20.128,39.826,100496.89,1.19,2.56475,13.575,14.022,13.92,13.45,4.777,4.755,4.855,4.837,7820.0,0.0,1.0
137,20.096,39.818,100493.8,1.1901,2.5655,14.325,14.113,14.001,13.575,4.907,4.776,4.87,4.851,7873.0,0.0,1.0
138,20.085,39.818,100493.8,1.1901,2.56525,14.075,14.102,14.016,13.575,4.863,4.776,4.868,4.853,7927.0,0.0,1.0
139,20.107,39.826,100493.8,1.19,2.56563,14.45,14.206,14.103,13.7,4.928,4.798,4.886,4.868,7981.0,0.0,1.0
140,20.118,39.826,100495.14,1.19,2.56413,12.95,13.829,13.872,13.7,4.665,4.798,4.821,4.829,8035.0,0.0,1.0
141,20.107,39.818,100496.96,1.1901,2.56388,12.7,13.491,13.638,13.7,4.62,4.798,4.762,4.787,8089.0,0.0,1.0
142,20.107,39.811,100494.7,1.19,2.5665,15.325,14.041,13.975,13.95,5.075,4.842,4.858,4.846,8142.0,0.0,1.0
143,20.118,39.818,100494.7,1.19,2.56675,15.575,14.501,14.295,14.075,5.116,4.864,4.937,4.902,8197.0,0.0,1.0
