Muestra,Temp,Hum,Hum2,Pres,Den,Vol,DP,DP1,Vel1,Vel2,Tiempo,PWM,Paro,VelRef,Error
47,26.36,27.367,26.897,100232.125,1.1621,2.41538,-1.356,0.269,0.0,0.68,3131.0,0.0,0.0,0.0,-38.68
48,26.338,27.367,26.897,100232.125,1.1622,2.417,0.269,0.269,0.68,0.68,3193.0,0.0,0.0,0.0,-38.68
49,26.36,27.375,26.874,100228.95,1.162,2.41563,-1.106,0.269,0.0,0.68,3257.0,0.0,0.0,0.0,-38.68
50,26.36,27.36,26.896,100230.57,1.162,2.41775,1.019,0.269,1.324,0.68,3320.0,0.0,0.0,0.0,-38.68
51,26.37,27.36,26.896,100230.57,1.162,2.41663,-0.106,0.269,0.0,0.68,3383.0,0.0,0.0,0.0,-38.68
52,26.36,27.36,26.931,100228.266,1.162,2.41588,-0.856,0.269,0.0,0.68,3446.0,0.0,0.0,0.0,-38.68
53,26.338,27.367,26.886,100230.234,1.1621,2.41663,-0.106,0.269,0.0,0.68,3509.0,0.0,0.0,0.0,-38.68
54,26.349,27.36,26.886,100230.234,1.1621,2.417,0.269,0.269,0.68,0.68,3572.0,0.0,0.0,0.0,-38.68
55,26.36,27.352,26.862,100228.17,1.162,2.4145,-2.231,0.269,0.0,0.68,3636.0,0.0,0.0,0.0,-38.68
56,26.37,27.36,26.886,100228.1,1.162,2.4165,-0.231,0.269,0.0,0.68,3698.0,0.0,0.0,0.0,-38.68
57,26.349,27.367,26.886,100228.1,1.1621,2.417,0.269,0.269,0.68,0.68,3762.0,0.0,0.0,0.0,-38.68
58,26.36,27.352,26.886,100231.93,1.1621,2.41563,-1.106,0.269,0.0,0.68,3825.0,0.0,0.0,0.0,-38.68
