Muestra,Temp,Hum,Pres,Den,Vol,DP,DP1,DP2,DP3,Vel1,Vel2,Vel3,Vel4,Tiempo,PWM,Paro,Hum2,VelRef,Error
0,0.0,47.661,103099.3,1.2405,2.57638,3.375,1.181,0.675,3.375,2.333,2.333,1.38,1.043,512.0,0.0,0.0,43.646,0.0,-132.68
1,0.0,47.6,103103.734,1.2406,2.57613,3.125,1.862,1.165,3.375,2.245,2.333,1.732,1.37,567.0,0.0,0.0,43.636,0.0,-132.68
2,0.0,47.585,103107.734,1.2406,2.57638,3.375,2.391,1.607,3.375,2.333,2.333,1.963,1.61,621.0,0.0,0.0,43.67,0.0,-132.68
3,0.0,47.577,103103.69,1.2405,2.57613,3.125,2.648,1.911,3.375,2.245,2.333,2.066,1.755,675.0,0.0,0.0,43.638,0.0,-132.68
4,0.0,47.57,103100.06,1.2406,2.5765,3.5,2.946,2.229,3.375,2.376,2.333,2.179,1.895,731.0,0.0,0.0,43.672,0.0,-132.68
5,0.0,47.6,103100.06,1.2405,2.57613,3.125,3.009,2.408,3.375,2.245,2.333,2.203,1.97,785.0,0.0,0.0,43.672,0.0,-132.69
6,0.0,47.593,103103.19,1.2405,2.576,3.0,3.006,2.526,3.125,2.199,2.245,2.201,2.018,839.0,0.0,0.0,43.672,0.0,-127.68
7,0.0,47.6,103108.97,1.2406,2.576,3.0,3.004,2.621,3.125,2.199,2.245,2.201,2.056,894.0,0.0,0.0,43.63,0.0,-127.67
8,0.0,47.593,103102.69,1.2406,2.576,3.0,3.003,2.697,3.125,2.199,2.245,2.2,2.085,949.0,0.0,0.0,43.664,0.0,-127.67
9,0.0,47.6,103106.68,1.2406,2.576,3.0,3.002,2.758,3.125,2.199,2.245,2.2,2.108,1003.0,0.0,0.0,43.664,0.0,-127.67
10,0.0,47.585,103106.68,1.2407,2.57638,3.375,3.132,2.881,3.125,2.333,2.245,2.247,2.155,1057.0,0.0,0.0,43.664,0.0,-127.67
11,0.0,47.585,103104.9,1.2406,2.5755,2.5,2.911,2.805,3.125,2.008,2.245,2.166,2.126,1113.0,0.0,0.0,43.632,0.0,-127.67
12,0.0,47.6,103107.09,1.2406,2.57588,2.875,2.899,2.819,3.125,2.153,2.245,2.162,2.132,1167.0,0.0,0.0,43.677,0.0,-127.67
13,0.0,47.6,103096.375,1.2405,2.57613,3.125,2.978,2.88,3.125,2.245,2.245,2.191,2.155,1222.0,0.0,0.0,43.666,0.0,-127.68
14,0.0,47.593,103104.0,1.2406,2.576,3.0,2.986,2.904,3.125,2.199,2.245,2.194,2.164,1276.0,0.0,0.0,43.655,0.0,-127.67
15,0.0,47.585,103104.0,1.2405,2.57588,2.875,2.947,2.898,3.125,2.153,2.245,2.18,2.162,1331.0,0.0,0.0,43.654,0.0,-127.67
16,0.0,47.6,103102.19,1.2405,2.57588,2.875,2.922,2.894,3.0,2.153,2.199,2.17,2.16,1386.0,0.0,0.0,43.666,0.0,-125.1
17,0.0,47.57,103103.53,1.2405,2.57638,3.375,3.08,2.99,3.125,2.333,2.245,2.229,2.196,1440.0,0.0,0.0,43.633,0.0,-127.68
