Muestra,Temp,Hum,Hum2,Pres,Den,Vol,DP,DP1,Vel1,Vel2,Tiempo,PWM,Paro,VelRef,Error
0,20.353,41.062,41.172,97056.61,1.148,2.42475,-148.25,0.0,0.0,0.0,512.0,0.0,0.0,0.0,0.0
1,20.353,41.009,41.195,97064.06,1.1481,2.42775,-145.25,0.0,0.0,0.0,565.0,0.0,0.0,0.0,0.0
2,20.364,40.986,41.23,97061.61,1.148,2.41988,-153.125,0.0,0.0,0.0,617.0,0.0,0.0,0.0,0.0
3,20.353,41.001,41.154,97058.805,1.148,2.42825,-144.75,0.0,0.0,0.0,669.0,0.0,0.0,0.0,0.0
4,20.375,41.009,41.154,97058.805,1.1479,2.4205,-152.5,0.0,0.0,0.0,722.0,0.0,0.0,0.0,0.0
5,20.364,41.001,41.178,97063.46,1.1481,2.42425,-148.75,0.0,0.0,0.0,775.0,0.0,0.0,0.0,0.0
6,20.353,41.009,41.155,97062.0,1.1481,2.42213,-150.875,0.0,0.0,0.0,827.0,0.0,0.0,0.0,0.0
7,20.386,41.001,41.189,97065.53,1.148,2.4255,-147.5,0.0,0.0,0.0,880.0,0.0,0.0,0.0,0.0
8,20.375,41.001,41.168,97065.0,1.148,2.42538,-147.625,0.0,0.0,0.0,932.0,0.0,0.0,0.0,0.0
9,20.364,41.001,41.168,97065.0,1.1481,2.42575,-147.25,0.0,0.0,0.0,985.0,0.0,0.0,0.0,0.0
10,20.353,41.001,41.18,97064.08,1.1481,2.4245,-148.5,0.0,0.0,0.0,1038.0,0.0,0.0,0.0,0.0
11,20.364,41.009,41.146,97063.16,1.148,2.42313,-149.875,0.0,0.0,0.0,1090.0,0.0,0.0,0.0,0.0
12,20.375,41.001,41.201,97064.89,1.148,2.42463,-148.375,0.0,0.0,0.0,1143.0,0.0,0.0,0.0,0.0
13,20.364,40.993,41.201,97064.89,1.1481,2.42563,-147.375,0.0,0.0,0.0,1196.0,0.0,0.0,0.0,0.0
14,20.375,41.009,41.19,97063.97,1.148,2.4275,-145.5,0.0,0.0,0.0,1248.0,0.0,0.0,0.0,0.0
15,20.375,40.993,41.125,97063.47,1.148,2.4255,-147.5,0.0,0.0,0.0,1301.0,0.0,0.0,0.0,0.0
16,20.375,41.016,41.191,97061.17,1.148,2.42575,-147.25,0.0,0.0,0.0,1353.0,0.0,0.0,0.0,0.0
17,20.364,41.001,41.191,97061.17,1.148,2.42175,-151.25,0.0,0.0,0.0,1406.0,0.0,0.0,0.0,0.0
18,20.353,41.016,41.104,97063.47,1.1481,2.42325,-149.75,0.0,0.0,0.0,1459.0,0.0,0.0,0.0,0.0
19,20.353,40.978,41.181,97062.125,1.1481,2.42425,-148.75,0.0,0.0,0.0,1511.0,0.0,0.0,0.0,0.0
20,20.364,41.001,41.169,97064.81,1.1481,2.42588,-147.125,0.0,0.0,0.0,1564.0,0.0,0.0,0.0,0.0
21,20.353,41.001,41.169,97064.81,1.1481,2.42588,-147.125,0.0,0.0,0.0,1616.0,0.0,0.0,0.0,0.0
22,20.375,41.001,41.182,97062.016,1.148,2.42538,-147.625,0.0,0.0,0.0,1670.0,0.0,0.0,0.0,0.0
23,20.364,40.993,41.225,97062.516,1.148,2.4235,-149.5,0.0,0.0,0.0,1722.0,0.0,0.0,0.0,0.0
24,20.375,41.001,41.147,97062.516,1.148,2.42325,-149.75,0.0,0.0,0.0,1775.0,0.0,0.0,0.0,0.0
25,20.364,41.001,41.147,97062.516,1.148,2.42238,-150.625,0.0,0.0,0.0,1827.0,0.0,0.0,0.0,0.0
26,20.364,41.001,41.192,97067.39,1.1481,2.42563,-147.375,0.0,0.0,0.0,1880.0,0.0,0.0,0.0,0.0
27,20.364,41.009,41.094,97066.86,1.1481,2.42313,-149.875,0.0,0.0,0.0,1933.0,0.0,0.0,0.0,0.0
28,20.353,41.001,41.192,97065.625,1.1481,2.42363,-149.375,0.0,0.0,0.0,1985.0,0.0,0.0,0.0,0.0
29,20.353,41.016,41.192,97065.625,1.1481,2.41925,-153.75,0.0,0.0,0.0,2038.0,0.0,0.0,0.0,0.0
30,20.375,40.993,41.17,97059.33,1.148,2.42513,-147.875,0.0,0.0,0.0,2091.0,0.0,0.0,0.0,0.0
31,20.375,41.001,41.149,97062.83,1.148,2.42225,-150.75,0.0,0.0,0.0,2144.0,0.0,0.0,0.0,0.0
32,20.375,40.993,41.149,97062.83,1.148,2.42563,-147.375,0.0,0.0,0.0,2196.0,0.0,0.0,0.0,0.0
33,20.364,41.001,41.149,97060.67,1.148,2.42188,-151.125,0.0,0.0,0.0,2248.0,0.0,0.0,0.0,0.0
34,20.353,41.016,41.148,97060.67,1.1481,2.4275,-145.5,0.0,0.0,0.0,2301.0,0.0,0.0,0.0,0.0
35,20.343,41.001,41.127,97061.484,1.1481,2.42175,-2.288,0.0,0.0,0.0,2354.0,0.0,0.0,0.0,0.0
36,20.375,41.016,41.116,97064.17,1.148,2.42013,-3.913,0.0,0.0,0.0,2406.0,0.0,0.0,0.0,0.0
37,20.364,41.001,41.138,97064.17,1.1481,2.42138,-2.663,0.0,0.0,0.0,2459.0,0.0,0.0,0.0,0.0
38,20.353,41.024,41.138,97064.17,1.1481,2.42525,1.212,1.212,1.453,1.453,2511.0,0.0,0.0,0.0,-82.66
39,20.386,41.024,41.137,97062.44,1.1479,2.42538,1.338,1.338,1.527,1.527,2565.0,0.0,0.0,0.0,-86.83
40,20.364,41.001,41.204,97064.59,1.1481,2.424,-0.038,1.212,0.0,1.453,2617.0,0.0,0.0,0.0,-82.67
41,20.375,41.009,41.16,97061.484,1.148,2.42338,-0.662,1.212,0.0,1.453,2670.0,0.0,0.0,0.0,-82.67
42,20.364,41.024,41.16,97061.484,1.148,2.42425,0.213,1.212,0.608,1.453,2722.0,0.0,0.0,0.0,-82.67
43,20.375,41.001,41.182,97064.59,1.148,2.419,-5.037,1.212,0.0,1.453,2776.0,0.0,0.0,0.0,-82.67
44,20.364,41.016,41.16,97066.36,1.1481,2.42525,1.212,1.212,1.453,1.453,2828.0,0.0,0.0,0.0,-82.66
45,20.364,41.016,41.127,97066.36,1.1481,2.42525,1.212,1.212,1.453,1.453,2881.0,0.0,0.0,0.0,-82.66
46,20.343,41.001,41.127,97066.36,1.1482,2.42525,1.212,1.212,1.453,1.453,2933.0,0.0,0.0,0.0,-82.66
47,20.353,41.016,41.138,97062.83,1.1481,2.425,0.963,1.212,1.295,1.453,2987.0,0.0,0.0,0.0,-82.66
48,20.353,41.024,41.104,97059.22,1.148,2.41688,-7.162,1.212,0.0,1.453,3039.0,0.0,0.0,0.0,-82.67
49,20.364,41.001,41.094,97065.94,1.1481,2.42125,-2.788,1.212,0.0,1.453,3092.0,0.0,0.0,0.0,-82.66
50,20.386,41.001,41.094,97065.94,1.148,2.42288,-1.162,1.212,0.0,1.453,3145.0,0.0,0.0,0.0,-82.67
51,20.375,41.009,41.094,97065.016,1.148,2.42488,0.837,1.212,1.208,1.453,3197.0,0.0,0.0,0.0,-82.67
52,20.364,41.024,41.127,97063.67,1.1481,2.4275,3.462,1.212,2.456,1.453,3251.0,0.0,0.0,0.0,-82.67
53,20.353,41.024,41.116,97061.484,1.1481,2.4245,0.463,1.212,0.898,1.453,3303.0,0.0,0.0,0.0,-82.67
54,20.353,41.016,41.116,97061.484,1.1481,2.42163,-2.412,1.212,0.0,1.453,3356.0,0.0,0.0,0.0,-82.67
