0,16.096,57.183,102936.93,1.2355,2.576,3,1.05,0.6,3,2.204,2.204,1.304,0.986,512,0,0,47.404,0,-125.35
1,16.085,57.107,102938.66,1.2356,2.57613,3.125,1.776,1.105,3.125,2.249,2.249,1.696,1.337,567,0,0,47.396,0,-127.93
2,16.096,57.107,102937.3,1.2356,2.57638,3.375,2.336,1.559,3.125,2.337,2.249,1.945,1.589,622,0,0,47.407,0,-127.93
3,16.096,57.084,102931.875,1.2355,2.57575,2.75,2.481,1.797,3.125,2.11,2.249,2.004,1.706,677,0,0,47.409,0,-127.94
4,16.096,57.091,102935.91,1.2355,2.57675,3.75,2.925,2.188,3.125,2.464,2.249,2.176,1.882,732,0,0,47.378,0,-127.93
5,16.096,57.076,102935.91,1.2355,2.57713,4.125,3.345,2.575,3.375,2.584,2.337,2.327,2.042,787,0,0,47.378,0,-132.95
6,16.096,57.046,102938.59,1.2356,2.57675,3.75,3.487,2.81,3.375,2.464,2.337,2.376,2.133,842,0,0,47.39,0,-132.95
7,16.085,57.046,102936.33,1.2356,2.57638,3.375,3.448,2.923,3.375,2.337,2.337,2.362,2.175,898,0,0,47.391,0,-132.95
8,16.096,57.03,102932.75,1.2355,2.57663,3.625,3.51,3.064,3.375,2.422,2.337,2.384,2.227,953,0,0,47.391,0,-132.95
9,16.096,57.038,102930.484,1.2355,2.5765,3.5,3.506,3.151,3.5,2.38,2.38,2.382,2.258,1007,0,0,47.391,0,-135.4
10,16.096,57.023,102930.484,1.2355,2.57625,3.25,3.417,3.171,3.375,2.294,2.337,2.352,2.266,1062,0,0,47.391,0,-132.95
11,16.096,57.007,102933.17,1.2355,2.5765,3.5,3.446,3.237,3.5,2.38,2.38,2.362,2.289,1118,0,0,47.37,0,-135.39
12,16.096,56.992,102937.19,1.2356,2.57675,3.75,3.552,3.339,3.5,2.464,2.38,2.398,2.325,1173,0,0,47.37,0,-135.39
13,16.106,56.984,102935.375,1.2355,2.57625,3.25,3.447,3.322,3.5,2.294,2.38,2.362,2.319,1228,0,0,47.371,0,-135.4
14,16.096,56.984,102936.266,1.2356,2.57625,3.25,3.378,3.307,3.375,2.294,2.337,2.338,2.314,1284,0,0,47.349,0,-132.95
15,16.096,56.954,102936.266,1.2356,2.57638,3.375,3.377,3.321,3.375,2.337,2.337,2.338,2.318,1338,0,0,47.349,0,-132.95
16,16.117,56.923,102937.16,1.2355,2.57675,3.75,3.507,3.407,3.375,2.464,2.337,2.383,2.348,1393,0,0,47.349,0,-132.95
17,16.096,56.939,102933.59,1.2355,2.57663,3.625,3.549,3.45,3.5,2.422,2.38,2.397,2.363,1448,0,0,47.359,0,-135.39
18,16.106,56.923,102935.83,1.2355,2.5765,3.5,3.532,3.46,3.5,2.38,2.38,2.391,2.367,1504,0,0,47.349,0,-135.39
19,16.117,56.908,102933.59,1.2354,2.5765,3.5,3.521,3.468,3.5,2.38,2.38,2.387,2.37,1559,0,0,47.349,0,-135.4
20,16.117,56.885,102933.59,1.2354,2.57613,3.125,3.382,3.4,3.5,2.249,2.38,2.34,2.346,1614,0,0,47.349,0,-135.4
21,16.128,56.908,102932.25,1.2354,2.57613,3.125,3.292,3.345,3.5,2.249,2.38,2.309,2.327,1670,0,0,47.349,0,-135.4
22,16.106,56.885,102931.805,1.2355,2.57663,3.625,3.409,3.401,3.5,2.423,2.38,2.349,2.346,1725,0,0,47.371,0,-135.4
23,16.117,56.862,102937.61,1.2355,2.57675,3.75,3.528,3.471,3.5,2.464,2.38,2.39,2.37,1780,0,0,47.327,0,-135.4
24,16.117,56.855,102935.34,1.2355,2.57625,3.25,3.431,3.427,3.5,2.294,2.38,2.357,2.355,1836,0,0,47.327,0,-135.4
25,16.096,56.832,102935.34,1.2356,2.57613,3.125,3.324,3.366,3.5,2.249,2.38,2.32,2.334,1891,0,0,47.327,0,-135.39
26,16.106,56.824,102935.83,1.2355,2.57663,3.625,3.429,3.418,3.5,2.422,2.38,2.356,2.352,1946,0,0,47.338,0,-135.39
27,16.117,56.809,102935.34,1.2355,2.576,3,3.279,3.335,3.5,2.204,2.38,2.304,2.323,2001,0,0,47.316,0,-135.4
28,16.106,56.809,102940.7,1.2356,2.57613,3.125,3.225,3.293,3.375,2.249,2.337,2.285,2.309,2056,0,0,47.306,0,-132.95
29,16.117,56.778,102938.02,1.2355,2.5765,3.5,3.322,3.334,3.5,2.38,2.38,2.319,2.323,2111,0,0,47.294,0,-135.4
30,16.117,56.771,102938.02,1.2355,2.57613,3.125,3.253,3.292,3.375,2.249,2.337,2.295,2.309,2166,0,0,47.294,0,-132.95
31,16.128,56.771,102940.29,1.2355,2.576,3,3.164,3.234,3.375,2.204,2.337,2.263,2.288,2222,0,0,47.316,0,-132.95
32,16.128,56.756,102937.61,1.2354,2.57625,3.25,3.194,3.237,3.375,2.294,2.337,2.274,2.289,2277,0,0,47.294,0,-132.95
33,16.128,56.74,102936.69,1.2354,2.576,3,3.126,3.19,3.375,2.204,2.337,2.25,2.272,2332,0,0,47.338,0,-132.96
34,16.117,56.725,102932.664,1.2354,2.57688,3.875,3.389,3.327,3.375,2.505,2.337,2.342,2.321,2387,0,0,47.316,0,-132.96
35,16.128,56.725,102932.664,1.2354,2.576,-0.331,2.087,2.595,3.375,0,2.338,1.838,2.05,2443,0,0,47.316,0,-132.96
36,16.117,56.71,102934.93,1.2355,2.57575,-0.581,1.153,1.96,3.375,0,2.337,1.366,1.781,2498,0,0,47.306,0,-132.95
